Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
Ethereum,ETH,30-11-2019,156.6912928,151.2253424,155.2864089,152.5396913,6565950868,16589132426
Ethereum,ETH,01-12-2019,152.4919223,147.0679269,152.4919223,151.1857294,7102780298,16443650814
Ethereum,ETH,02-12-2019,152.1169608,147.6068028,151.175478,149.0591527,6670561362,16214125032
Ethereum,ETH,03-12-2019,150.3104254,146.0016714,149.0582481,147.9564152,6204379850,16095928402
Ethereum,ETH,04-12-2019,150.6808172,145.0008918,147.9183883,146.7477378,7865937094,15966157442
Ethereum,ETH,05-12-2019,153.1554027,145.4590826,146.6864923,149.2489946,6745910228,16240052430
Ethereum,ETH,06-12-2019,149.6705236,147.6065207,149.3964889,149.1944478,6458766441,16235876301
Ethereum,ETH,07-12-2019,149.7997187,148.3747759,149.1976065,148.7681629,5911233284,16191247024
Ethereum,ETH,08-12-2019,152.3929234,148.3133442,148.7436771,151.2647253,6441727252,16464729150
Ethereum,ETH,09-12-2019,151.9139437,147.6213658,151.22439,148.2251688,6744206747,16135631420
Ethereum,ETH,10-12-2019,148.5644636,144.9079557,148.1798587,146.267046,6859512025,15924221614
Ethereum,ETH,11-12-2019,147.1392026,143.045365,146.3206481,143.6079984,7037180049,15636405555
Ethereum,ETH,12-12-2019,145.7516523,141.4369797,143.6156582,145.6040105,7890383413,15855473988
Ethereum,ETH,13-12-2019,145.8571065,143.7465246,145.655689,144.9447419,7264810247,15785338920
Ethereum,ETH,14-12-2019,145.5290793,142.4345599,144.9534177,142.8692272,7048066973,15560820323
Ethereum,ETH,15-12-2019,143.9253512,139.4269509,142.8649886,143.1149898,7235153411,15589117504
Ethereum,ETH,16-12-2019,143.2248526,132.4566579,143.1395331,133.61403,8992282119,14555616655
Ethereum,ETH,17-12-2019,134.0115345,121.3950781,133.647182,122.6038881,9057166141,13357486656
Ethereum,ETH,18-12-2019,133.3941601,119.7800582,122.6568358,133.0921944,11864518321,14501554620
Ethereum,ETH,19-12-2019,134.1906426,125.9716636,133.0527791,129.32113,9564699140,14092012421
Ethereum,ETH,20-12-2019,129.7563007,126.9853522,129.3843667,129.0660499,8173594150,14065549620
Ethereum,ETH,21-12-2019,129.1476626,127.6120899,129.0959661,128.1309493,7449064703,13964992761
Ethereum,ETH,22-12-2019,133.1600305,127.9284859,128.098122,132.3725195,9121058481,14428651183
Ethereum,ETH,23-12-2019,134.731755,127.4167204,132.3069884,128.6140889,9622497693,14020312860
Ethereum,ETH,24-12-2019,131.6722924,127.3087719,128.6292528,129.0638929,7961819689,14070696528
Ethereum,ETH,25-12-2019,129.068501,124.88549,129.068501,126.4546376,8418019054,13787538200
Ethereum,ETH,26-12-2019,130.8983511,125.406443,126.4863257,126.3612229,8600871980,13778664460
Ethereum,ETH,27-12-2019,128.0975715,124.8208114,126.3687954,127.2146109,8299390176,13873046817
Ethereum,ETH,28-12-2019,130.2581691,126.8996968,127.2130153,128.3227117,8069298610,13995233088
Ethereum,ETH,29-12-2019,136.8111967,127.9976555,128.2668714,134.7579854,9708776786,14698483422
